species,order,family,asr,b.mass,chick.brd,chick.brd.abs,chick.dfc,chick.dur,chick.feed,chick.feed.abs,clutch.num,clutch.size,dev.mod,egg.mass,epb,epy,f.mass,f.tail,f.tarsus,f.wing,femmor.a,fpg,fpg.scr,inc,inc.abs,inc.dur,m.mass,m.tail,m.tarsus,m_displ,m.wing,malmor.a,mating.system,mortality,mpg,mpg.scr,nest.bld,nest.bld.abs,nest.dur,nest.grd,pl.back,pl.belly,pl.extra,pl.head,pl.latitude,pl.mean,pl.median,pl.tail,pl.total,pl.wings,post.dur,postf.feed,postf.feed.abs,postf.grd,postf.grd.abs,testes,unsexed.mass,unsexed.tail,unsexed.tarsus,unsexed.wing
Abeillia_abeillei,Caprimulgiformes,Trochilidae,NA,2.7,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,0,2,0,1,1,0.5,0,0,3,0,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA
Abroscopus_albogularis,Passeriformes,Sylviidae,NA,4.85,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.845,NA,NA,NA
Abroscopus_schisticeps,Passeriformes,Sylviidae,NA,4.7,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA
Abroscopus_superciliaris,Passeriformes,Sylviidae,NA,6.5,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.48,NA,NA,NA
Aburria_aburri,Galliformes,Cracidae,NA,1407.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1405.08,NA,NA,NA
Acanthagenys_rufogularis,Passeriformes,Meliphagidae,NA,47.8,NA,NA,NA,16.5,2,NA,NA,2.2,0,5.45,NA,NA,41.4,106.4,25.7,107.5,NA,NA,NA,NA,NA,14.5,47.1,113.4,26.2,3,113.1,NA,2,NA,NA,NA,NA,NA,5,NA,0,0,0,0,-1,0,0,0,0,0,12,2,NA,NA,NA,0.45,47.8,NA,NA,NA
Acanthidops_bairdii,Passeriformes,Emberizidae,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,-1,NA,0.6,NA,1,3,1,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
Acanthisitta_chloris,Passeriformes,Acanthisittidae,NA,6.95,1,NA,2,24.5,3,NA,2,3.866666667,0,1.34,NA,NA,7.2,22.1,19.7,51.4,NA,0,0,1,NA,20,5.833333333,23.3,19.1,1,47.8,NA,2,NA,0,0,3,NA,14,2,-2,0,0,-2,-1,0,-0.166666667,1,5,2,35,3,NA,NA,NA,NA,6.91,NA,NA,NA
Acanthiza_apicalis,Passeriformes,Acanthizidae,NA,7.5,NA,NA,NA,17,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,2,NA,NA,NA,NA,7.62,NA,NA,NA
Acanthiza_chrysorrhoa,Passeriformes,Acanthizidae,NA,9.333333,0,0,NA,19.05,2,NA,NA,3.5,0,1.44,NA,NA,9.8,39.3,17.4,57.6,NA,NA,NA,0,0,16.85,9.4,40.8,17.7,1,57.8,NA,6,NA,NA,NA,2,NA,12.5,NA,0,0,0,0,-1,0,0,0,0,0,14,2,NA,NA,NA,0.08,9.245,NA,NA,NA
