binomial,Species.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific.rank,Infraspecific.name,Infraspecific.authority,Stock.subpopulation,Synonyms,Common.names..Eng.,Common.names..Fre.,Common.names..Spa.,Red.List.status,Red.List.criteria,Red.List.criteria.version,Year.assessed,Population.trend,Petitioned,mating_system,sex_dim,ref.matsys,ref.sexdim,male_svl_cm,female_svl_cm,male_body_mass_g,female_body_mass_g,ref.svl.male,ref.svl.female,ref.body_mass.male,ref.body_mass.female,shape_Leng,shape_Area,han_MorR,sex_role.liker,malepolyfreq.liker,malepolyscore.liker,fempolyfreq.liker,fempolyscore.liker,parentalcare_bias.liker,malecareduration.liker,femcareduration.liker,breedingdens.liker,EPP.freq.liker,body.size.pip,latitude.pip,ASR,ref.asr,sex.size.dim,ref.sex.size.dim,body_mass_adult,ref_body_mass,sex.sel.traits,ref.sex.sel.t,comments
Acris crepitans,55286,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Acris,crepitans,"Baird, 1854",NA,NA,NA,NA,NA,Northern Cricket Frog,NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,2.28,2.42,NA,NA,han,han,NA,NA,349.2681423,322.5781691,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acris gryllus,55287,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Acris,gryllus,"(Le Conte, 1825)",NA,NA,NA,NA,NA,Southern Cricket Frog,NA,NA,LC,NA,3.1,2014,stable,NA,Polygynous,"Female larger, Sexes colored or patterned differently, Male more colorful",adw,adw,2.2,2.45,NA,NA,han,han,NA,NA,126.6569886,63.88281369,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data available (CCI 29/10/2018)
Adelotus brevis,520,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LIMNODYNASTIDAE,Adelotus,brevis,"(Günther, 1863)",NA,NA,NA,NA,Cryptotis brevis,Tusked Frog,NA,NA,NT,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,3.55,3.28,NA,NA,han,han,NA,NA,75.93579575,43.84715531,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphobates galactonotus,55185,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,galactonotus,"(Steindachner, 1864)",NA,NA,NA,NA,Dendrobates galactonotus  |Dendrobates galactonotus  ,NA,NA,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,3.32,3.57,NA,NA,han,han,NA,NA,36.71053577,46.40713716,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphobates quinquevittatus,55197,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,quinquevittatus,"(Steindachner, 1864)",NA,NA,NA,NA,Dendrobates quinquevittatus  ,"Rio Madeira Poison Frog, Amazonian Poison-arrow Frog",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,1.66,1.73,NA,NA,han,han,NA,NA,42.53482983,118.0534787,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenomera andreae,56304,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,andreae,"(Müller, 1923)",NA,NA,NA,NA,Leptodactylus andreae,Lowland Tropical Bullfrog,NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,2.33,2.41,NA,NA,nali,nali,NA,NA,135.1753152,489.0484032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenomera hylaedactyla,56309,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,hylaedactyla,"(Cope, 1868)",NA,NA,NA,NA,Adenomera hylaedactyla  |Leptodactylus diptyx  |Leptodactylus glandulosus  |Leptodactylus hololius  |Leptodactylus hylaedactyla  |Leptodactylus hylaedactylus|Leptodactylus melini  |Leptodactylus minutus  |Leptodactylus poeppigi  ,Napo Tropical Bullfrog,NA,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,2.27,2.32,NA,NA,nali,nali,NA,NA,174.3202289,774.0488307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenomera marmorata,56311,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,marmorata,"Steindachner, 1867",NA,NA,NA,NA,Leptodactylus marmorata  |Leptodactylus marmoratus,NA,NA,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,2.017,2.202,NA,NA,nali,nali,NA,NA,34.59933024,20.06413967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afrixalus fornasini,56063,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,fornasini,"(Bianconi, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,3.1,2013,unknown,NA,NA,NA,NA,NA,3.35,3.5,NA,NA,han,han,NA,NA,109.419636,79.74579846,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalychnis callidryas,55290,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,callidryas,"(Cope, 1862)",NA,NA,NA,NA,Agalychnis callidryas subspecies taylori|Agalychnis helenae  |Agalychnis  callidryas subspecies callidryas |Hyla  callidryas |Phyllomedusa  callidryas|Phyllomedusa  helenae,"Red-eyed Treefrog, Red-eyed Leaf frog",NA,Rana Arborícola,LC,NA,3.1,2008,decreasing,NA,NA,NA,NA,NA,4.82,6.25,NA,NA,han,han,NA,NA,98.20663351,41.9336823,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalychnis dacnicolor,55813,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,dacnicolor,"(Cope, 1864)",NA,NA,NA,NA,Pachymedusa dacnicolor|Phyllomedusa dacnicolor,"Mexican Giant Tree Frog, Mexican Leaf Frog",NA,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,6.76,7.92,NA,NA,nali,nali,NA,NA,56.17110266,13.01635527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalychnis lemur,55855,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,lemur,"(Boulenger, 1882)",NA,NA,NA,NA,Hylomantis lemur|Phyllomedusa lemur,Lemur Leaf Frog,NA,NA,CR,A4ace,3.1,2008,decreasing,NA,NA,NA,NA,NA,3.38,4.26,NA,NA,nali,nali,NA,NA,5.661970906,0.589910027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalychnis saltator,55294,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,saltator,"Taylor, 1955",NA,NA,NA,NA,Phyllomedusa  saltator ,Misfit Leaf Frog,NA,NA,LC,NA,3.1,2008,stable,NA,NA,NA,NA,NA,4.33,5.7,NA,NA,han,han,NA,NA,9.336448951,1.045063136,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalychnis spurrelli,55295,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,spurrelli,"Boulenger, 1913",NA,NA,NA,NA,Agalychnis  litodryas|Phyllomedusa  litodryas |Phyllomedusa  spurrelli,"Gliding Treefrog, Gliding Leaf Frog",NA,NA,LC,NA,3.1,2008,decreasing,NA,NA,NA,NA,NA,6.2,7.5,NA,NA,han,han,NA,NA,50.55912846,7.542535801,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglyptodactylus laticeps,57383,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Aglyptodactylus,laticeps,"Glaw, Vences & Böhme, 1998",NA,NA,NA,NA,NA,NA,NA,NA,VU,B1ab(iii),3.1,2016,decreasing,NA,NA,NA,NA,NA,4.35,5.9,NA,NA,nali,nali,NA,NA,4.477390012,0.172646329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglyptodactylus madagascariensis,84500383,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Aglyptodactylus,madagascariensis,"(Duméril, 1853)",NA,NA,NA,NA,Limnodytes madagascariensis,Madagascar Jumping Frog,NA,NA,LC,NA,3.1,2016,decreasing,NA,NA,NA,NA,NA,4.1,5.3,NA,NA,nali,nali,NA,NA,22.75046964,9.538128166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglyptodactylus securifer,57385,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Aglyptodactylus,securifer,"Glaw, Vences & Böhme, 1998",NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,3.1,2016,decreasing,NA,NA,NA,NA,NA,3.58,4.29,NA,NA,nali,nali,NA,NA,53.76509194,9.92654162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allobates brunneus,55059,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,brunneus,"(Cope, 1887)",NA,NA,NA,NA,Colostethus brunneus  ,NA,NA,Sapito Ninera Del Brasil,LC,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,1.79,1.96,NA,NA,han,han,NA,NA,75.48286506,156.7211284,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allobates caeruleodactylus,55060,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,caeruleodactylus,"(Lima & Caldwell, 2001)",NA,NA,NA,NA,Colostethus caeruleodactylus  ,NA,NA,NA,DD,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,1.55,1.63,NA,NA,han,han,NA,NA,1.342703528,0.143462823,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allobates femoralis,55038,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,femoralis,"(Boulenger, 1884)",NA,NA,NA,NA,NA,NA,Epipedobate Fémoral,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,2.49,2.69,NA,NA,han,han,NA,NA,169.5768445,458.2459893,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allobates nidicola,55120,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,nidicola,"(Caldwell & Lima, 2003)",NA,NA,NA,NA,Colostethus nidicola  ,NA,NA,NA,DD,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,1.96,2.02,NA,NA,han,han,NA,NA,0.117647794,0.001101404,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allobates talamancae,55155,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,talamancae,"(Cope, 1875)",NA,NA,NA,NA,Colostethus talamancae|Dendrobates talamancae|Hylaplesia talamancae|Phyllobates  talamancae,Talamanca Rocket Frog,NA,NA,LC,NA,3.1,2008,stable,NA,NA,NA,NA,NA,2.04,2.4,NA,NA,han,han,NA,NA,0.668893985,0.029145165,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allobates zaparo,55039,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,zaparo,"(Silverstone, 1976)",NA,NA,NA,NA,Dendrobates  zaparo|Epipedobates zaparo|Phyllobates  zaparo ,"Sanguine Poison-arrow Frog, Sanguine Poison Frog, Zaparo's Poison Frog",NA,Rana Venenosa,LC,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,2.78,2.8,NA,NA,han,han,NA,NA,7.858644137,3.687083938,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allophryne ruthveni,59659,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALLOPHRYNIDAE,Allophryne,ruthveni,"Gaige, 1926",NA,NA,NA,NA,NA,Tukeit Hill Frog,NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,2.26,2.7,NA,NA,han,han,NA,NA,112.3497347,249.1191126,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alytes cisternasii,55266,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,"Boscá, 1879",NA,NA,NA,NA,NA,Iberian Midwife Toad,NA,Sapo Partero Ibérico,NT,NA,3.1,2009,decreasing,NA,Monoandry,NA,liao,NA,4.92,5.09,NA,NA,liao,liao,NA,NA,22.61726422,17.812214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,"(Márquez et al., 1997)",NA,NA,NA,NA,NA,NA,"ASR based on marked individuals: 74 males (>= 1 year old), 12 females (>=2 year old) (CCI 29/10/2018)"
Alytes obstetricans,55268,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,obstetricans,"(Laurenti, 1768)",NA,NA,NA,NA,Bufo obstetricans,Common Midwife Toad,NA,Sapo Partero Común,LC,NA,3.1,2009,decreasing,NA,"Polygynandrous (promiscuous), Monoandry",Female larger,"adw, liao",adw,5.84,6.34,NA,NA,liao,liao,NA,NA,2.440196375,0.234386175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,"(Márquez et al., 1997)",NA,NA,NA,NA,NA,NA,"ASR based on marked individuals: 59 males (>=1 year old), 31 females (>=2 year old) (CCI 29/10/2018)"
Ameerega hahneli,55223,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Ameerega,hahneli,"(Boulenger, 1884)",NA,NA,NA,NA,Epipedobates hahneli  |Epipedobates hahneli  ,NA,NA,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,1.8,2.05,NA,NA,han,han,NA,NA,91.57364984,322.6274796,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameerega parvula,55229,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Ameerega,parvula,"(Boulenger, 1882)",NA,NA,NA,NA,Ameerega parvulus  |Epipedobates parvulus  |Prostherapis festae  ,NA,NA,Rana Venenosa,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,1.9,2.12,NA,NA,han,han,NA,NA,17.06103019,15.74316823,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
